username,comment,link_video,publish_date,like_count,view_count
@hestisucia6973,Kak vid sumpah disni ganteng bngt segerrr sehat2 ya ka pokoknya ka vidi sehat panjang unur aminnn,https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@JurigVirtual,"Orang yang paling banyak di request dikolom komen akhirnya dateng juga wkwk, jujur gua kaget tapi tujuan datengnya terprediksi. Sesuai dengan yg disampaikan di Podcast bang Densu sebelumnya, kak Sheila kalo diundang pun pasti harus ada bahan yg bisa dijadikan obrolan. Bestlah pokoknya",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@ZaenapZia,"Di 1.09.35 dan 1.21.20 adalah ungkapan vidi yg paling menyentuh, sehat selalu ya vidi  terakhir pas nyanyi gw nangis woi.. Pelukmu mgkn hanya sementara...........",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@aghoesgunawan,"sheila dara cantik banget sumpah, visualnya ngangenin, gak ngebosenin, gimana yang ngungkapinnya, udah ah pokoknya the best shiela, luv pokoknya",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@fawwazjunior17,"Episode paling favorit gua ada sheila dara, seneng banget sumpaaah... Ngakak terus... Sehat-sehat yah kalian semua... Happy terussss...",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@mertinadevi2747,Hahahaha menit pertama aja udah petcahhh bangett,https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@NovitaTriUtami-z7g,"Yuhuuuuu ... Hebaaatttt banget banget banget niih Podhub 
Ngakakkk terus sii",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@LazyFame,"matanya sheiila ke vidi aja heehe
udah ga diraguin sih sesayang apaa dia sama vidi. maju terus vidi mudah2an lebih  baik dan terus baik lagi kedepannya hehe",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@rutoktaviani2721,sehat terus ka vidi Sheila... langgeng terus ya.. sampe kakek nenek... we love u...,https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@Abdulganiszaelani,Finally Akhirnya Podhub Berhasil Juga Ngundang Kak Sheila Dara .. gemeshhh,https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@elfgaming9741,Ku sampai nangis terharu hari ini ada kak Sheila dara... Terimakasih podhub... Terimakasih om ded kak vidi dan semua kru... Udah menghibur warga +62...,https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@dewisari3825,"Teman teman kita do'akan vidi panjang umur & sehat selalu 
G' kebayang klo Vidi g' ada
akan ada bgitu bnyak air mata.
entah knp ada rasa haru liat episode ini",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@astminov,Zuzuuurr dengerin episod ini tuh sempet ada kaya hhhh capek bgt dengerin Vidi ngomong mulu hahaha  keren bgt Sheila bisa jd pendengar yg baik krn introvert itu kadang dengerin orang banyak ngomong aja udah capek,https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@sistarinjanisista2458,"Langsung gercep pas liat ada KA Sheila Dara,akhirny om Dedi & team podhub bisa datengin ka Sheilapasti ka Vidi seneng + deg2an juga deh",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@funnyanimals8648,Gaskeun trending kan... Ibu negara telah datang,https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@anissszzz,Kak Adhy lucu bgt wkwkwkw. Emang harus bgt ada dia di setiap bintang tamu keluarganya kak vidi.,https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@MustofaKhoirul-o7t,"Daaah lama ngga nonton podhub karna bener2 nunggu Shela daraa ,aaakhhhhriiiinnyaaaaaaaa",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@septiujiyamsiah5285,"Pas Vidi nyanyi, terus Sheila liat Vidi
Aku merasa tatapan Sheila tuh tuluuuuus bgt. Kayak ""seperti apapun kamu, aku bangga punya kamu""  dan pas Vidi nyanyi, aku merinding terus nangis",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@wandaandini8994,makasihhhh ka selaaaaa udah datang ke podhap,https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@PutriPoernomo,FINALLY YAALLAH DOA KAMI TERKABULLLLLL!!!!! JAYA JAYA JAYA,https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@soniaindriyani5662,"Senin pagi ini ak nonton pudhub.. Sore nya ak lagsung bawa team ak nonton film Sore Ka Sheila Dara... 
Film nya bagus banget 
Kaka keren bangetttt 
Luvv",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@silvianalestari8611,"Aaaa seneng bgttt  
Ga pernah seseneng ini nonton podhub karna ada ibu negara yang spesial bgtt bgt bgttttt",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@fikamuthia,"kocak banget anjir sheila, pantes nikah sama vidi, ternyata mereka se klooooppp itu",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@noorarodliyah8329,"MasyaAllah Tabarakallah, Makasih sheila dara.. Udah mau maen ke podhub",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@azxr1el,"kak Sheilaaa kak Vidiii, sukak bgt film ""Sore"" nya, dari trailer pun aku kehook dari premise ceritanya.. berasa balik lagi ke kualitas film-film luar 2000an yg bawanggg bgt dari dialog, fase, sama emosinya, deepest thanks for bringing back my tears of enjoyment with such great movie!",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@RinaIrawan-jf6yj,"12:55 bisa""nya cwek seasik ini bnyak d hujat cmn krena introvert nya 
Sheilaa lucu bnget, cantik, dia bsa menyeimbangkan,bner"" ngakak  dia ga gengsi untk mnggil vidi sayang truss loh..
 artis cwek favorit gw nih,topppp bgt",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@sitinurhalimah1627,"trendingkan 1 dong langka  banget , part spesial sheila dara akhirnya  dateng ke podhub . lucu bgt  gemes bagt seru  banngt.",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@Dk.Adhi1412,"Sheila Dara datang ke Podhub langsung nobar, suka pake bgt, sehat terus Vidi, sehat terus semuanya, sukses selalu, bahagia terus ya, salam persahabatan dr Saudi Arabia 🇸🇦",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@cindy2329,"Sheila ini sebenernya anaknya penyayang dan perhatian bgt ke Vidi, tp gak mau dipublish gt, ky ada gengsi nya utk nunjukin ke publik, tp kliatan bgt penyayang nya ke Vidi",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@septianiwulandari8726,"Moodboosterrrrrr bgtttt, sering2 donggg ka silaaaa🫰",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@MauMarc,"Bahagia sihhh, setelah minggu lalu nge-skip, berharap Sabtu ini baik dan ternyata lebih dari baik, karena yg dinanti selama ini, dan makin baik lagi, karena ternyata SEASYIK ITU PARAHHH, kek berasa liatin teman lagi bawa pacar baru ke tongkrongan, alias gemeshhh bangettt woyyy, sehat, bahagia dan langgeng kaliannn berduaaa🫶.",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@itsmeeliss,Akhirnya nya yaa shela datang jugaa,https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@irmasulistiana9232,"Bestttt!!!!!
nonton podhub dari ep 1 sampe sekarang ini salah satu best of the best . parahhh dari awal mulai sampe akhir ketawa mulu",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@gilangtaufanfirdaus,Udah komen gw komen lagi . Awalnya liat Sheila dara itu di net TV acara musik bareng boy William.. liat dia cantik banget bisa gitaran bisa nyanyi . Pokoknya suka bgt .,https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@qurrotuzzahira6649,"liat vidi ini kayak kecintaan banget sama sheila suka banget liat dia salting sendiri kalau ungkapin rasa sayangnya, dan sheila juga memvalidasi banget perasaan vidi dengan cara dia. lovee banget liat pasangan ini gemesss !!",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@likeepiphanythree,"""gue bersyukur Tuhan kasih karakter sore in real life dikehidupan gue""

setelah kak vidi ngomong gitu kepalaku langsung flashback ke film SORE yg baru aku tonton jumat kemaren dan aku nangis",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@annisasihabudin126,"sehat menginspirasi selaluu ka vidi ka sheilaa, longlastt till jannah",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@prasaritasarita4202,om ded senyum2 liat obrolan vidi n sheila keliatan banget om ded  sayangnya sama vidi ..,https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@MamaQilaa01131,"Akhirnya ini dia yg di tunggu""setelah di serbu suruh dtg akhirnya dtg juga uhuyy",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@yourkeb,ALHAMDULILLAH RATU TERAKHIR DATANG JUGA DI PODHUB! TERHARU BANGET GUAAAAAAAAAAA,https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@ZenBaru-g8y,Coba dijadikan satu podcast Isyana + indah kus + sheila dara. Manteb,https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@feriskiroihan1999,AKHIRRNYAAA  0:11,https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@feisty_17,"Finally, the wait is over. Ibu Negara akhirnya nongol di Podhub. Aku juga udah nonton film SORE tgl 10 kemarin. Filmnya keren parah, mind-blowing dengan setting dan alur cerita Sore yang ternyata berbeda dengan seriesnya.",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@maulidadatin4277,"Baru buka YouTube liat beranda lgsg tercengang!!!!, akhirnya mashaallah",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@noradinaanggiagustin7860,Gila...lucu bgt sheila lagi undang dong...asli...bikin sakit perut.cocok jd pelawak si ini kak sheila,https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@nuraresti,"Tau kan kenapa vidi nikah sama sheila? Karna mereka se klop itu loohhhhh,sefrekuensi,nyambung banget...Ya Allah suka banget liat interaksi mereka berdua, walaupun ga mengumbar kemesraan tapi berasa sweet nya",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@firdarahmayani3436,Mreka ini memg cocok bgt vidi suka ngmong sheila pendengar yg baik seneng bgt liat mreka brdua romancenya tipis tipis tpi sweet,https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@herikurniawan2801,"opening aja udah kocak, emang the best ibu negara satu ini..",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@ririnfs3930,Ngakak terusss sepanjangg podcast ini...,https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@marzellarizkya6211,"Ga expect openingnya sheila loncat2 joget sana sini. Padahal udah kepikiran di otak ""sheila introvert"". Gemeesss bgt dia loncat2 lucuuuu sekali bikin latah malah ikutan loncat2 girang lagi gue saking senengnya liat ada sheila dara wkwkw huuaaaa sepanjang nonton full senyum senyum nih hamba",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
